"filename", "language", "PHP", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"c:\xampp\htdocs\DWEC\PROY\RedEmpleo-PabloBello\DAO\operacionesFct.php", "PHP", 36, 0, 0, 0, 1, 10, 47
"c:\xampp\htdocs\DWEC\PROY\RedEmpleo-PabloBello\DAO\operacionesSolicitudEmpleo.php", "PHP", 41, 0, 0, 0, 1, 6, 48
"c:\xampp\htdocs\DWEC\PROY\RedEmpleo-PabloBello\DAO\operacionesSolicitudFct.php", "PHP", 58, 0, 0, 0, 2, 9, 69
"c:\xampp\htdocs\DWEC\PROY\RedEmpleo-PabloBello\DAO\operacionesTutor.php", "PHP", 45, 0, 0, 0, 1, 3, 49
"c:\xampp\htdocs\DWEC\PROY\RedEmpleo-PabloBello\Modelo\Alumno.php", "PHP", 80, 0, 0, 0, 0, 10, 90
"c:\xampp\htdocs\DWEC\PROY\RedEmpleo-PabloBello\Modelo\Alumno_estudios.php", "PHP", 35, 0, 0, 0, 0, 4, 39
"c:\xampp\htdocs\DWEC\PROY\RedEmpleo-PabloBello\Modelo\Contrato.php", "PHP", 53, 0, 0, 0, 0, 7, 60
"c:\xampp\htdocs\DWEC\PROY\RedEmpleo-PabloBello\Modelo\Empresa.php", "PHP", 62, 0, 0, 0, 0, 8, 70
"c:\xampp\htdocs\DWEC\PROY\RedEmpleo-PabloBello\Modelo\Estudios.php", "PHP", 34, 0, 0, 0, 0, 7, 41
"c:\xampp\htdocs\DWEC\PROY\RedEmpleo-PabloBello\Modelo\Fct.php", "PHP", 41, 0, 0, 0, 0, 6, 47
"c:\xampp\htdocs\DWEC\PROY\RedEmpleo-PabloBello\Modelo\SolicitudEmpleo.php", "PHP", 80, 0, 0, 0, 0, 10, 90
"c:\xampp\htdocs\DWEC\PROY\RedEmpleo-PabloBello\Modelo\SolicitudFct.php", "PHP", 53, 0, 0, 0, 0, 7, 60
"c:\xampp\htdocs\DWEC\PROY\RedEmpleo-PabloBello\Modelo\Tutor.php", "PHP", 62, 0, 0, 0, 0, 8, 70
"c:\xampp\htdocs\DWEC\PROY\RedEmpleo-PabloBello\Vista\CSS\login.css", "CSS", 0, 0, 0, 29, 0, 5, 34
"c:\xampp\htdocs\DWEC\PROY\RedEmpleo-PabloBello\Vista\CSS\menu.css", "CSS", 0, 0, 0, 78, 0, 14, 92
"c:\xampp\htdocs\DWEC\PROY\RedEmpleo-PabloBello\Vista\CSS\styles.css", "CSS", 0, 0, 0, 173, 0, 22, 195
"c:\xampp\htdocs\DWEC\PROY\RedEmpleo-PabloBello\Vista\JS\login.js", "JavaScript", 0, 0, 507, 0, 9, 59, 575
"c:\xampp\htdocs\DWEC\PROY\RedEmpleo-PabloBello\Vista\JS\menu.js", "JavaScript", 0, 0, 954, 0, 8, 93, 1055
"c:\xampp\htdocs\DWEC\PROY\RedEmpleo-PabloBello\Vista\index.html", "HTML", 0, 22, 0, 0, 1, 2, 25
"c:\xampp\htdocs\DWEC\PROY\RedEmpleo-PabloBello\Vista\menu.html", "HTML", 0, 26, 0, 0, 2, 4, 32
"Total", "-", 1808, 48, 1461, 280, 61, 454, 4112
