"filename", "language", "SQL", "comment", "blank", "total"
"c:\Users\pablo\Desktop\666\SW\programillas\xampp\htdocs\DWEC\PROY\RedEmpleo-PabloBello\bolsaempleopbv.sql", "SQL", -161, -143, -74, -378
"Total", "-", -161, -143, -74, -378
